48433,2138,Stonewall County 
48435,3212,Sutton County 
48437,6900,Swisher County 
48439,1215990,Tarrant County 
48441,162205,Taylor County 
48443,878,Terrell County 
48445,21664,Terry County 
48447,1953,Throckmorton County 
48449,32205,Titus County 
48451,110441,Tom Green County 
48453,411473,Travis County 
48455,13684,Trinity County 
48457,18436,Tyler County 
48459,34394,Upshur County 
48461,4005,Upton County 
48463,30295,Uvalde County 
48465,82456,Val Verde County 
48467,53987,Van Zandt County 
48469,91602,Victoria County 
48471,52350,Walker County 
48473,20902,Waller County 
48475,9209,Ward County 
48477,37355,Washington County 
48479,295997,Webb County 
48481,49428,Wharton County 
48483,4155,Wheeler County 
48485,150377,Wichita County 
48487,20811,Wilbarger County 
48489,34384,Willacy County 
48491,193459,Williamson County 
48493,32297,Wilson County 
48495,8589,Winkler County 
48497,52948,Wise County 
48499,57080,Wood County 
48501,10234,Yoakum County 
48503,18620,Young County 
48505,13872,Zapata County 
